Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Pieaugušo neformālās izglītības iestāde ""Mācību centrs ""Inspecta Academy""""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"A/S ""Inspecta Latvia""";"Nē";"Nē";"3380802019";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Neformālās izglītības centrs ""DzīvotPrieks""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību Mācību centrs ""DzīvotPrieks""";"Nē";"Nē";"4480802033";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Neformālās izglītības iestāde ""KIRO Cosmetics""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"SIA ""KIRO Cosmetics""";"Nē";"Nē";"4180802076";"Juridiska vai fiziska persona";"TALSU NOVADS"
"Pieaugušo neformālās izglītības iestāde ""Mācību centrs ""Izaugsmes forums""""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"""Izaugsmes Forums""";"Nē";"Nē";"4580802079";"Juridiska vai fiziska persona";"IECAVAS NOVADS"
"Neformālās izglītības iestāde - Mācību centrs ""Efekts""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Rīgas sabiedrība ar ierobežotu atbildību Firma ""EFEKTS""";"Nē";"Nē";"3380802003";"Juridiska vai fiziska persona";"RĪGA"
"Pieaugušo neformālās izglītības iestāde ""Personības pilnveidošanas centrs""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""PERSONĪBAS PILNVEIDOŠANAS CENTRS""";"Nē";"Nē";"3380802083";"Juridiska vai fiziska persona";"RĪGA"
"Biedrības ""Attīstības centrs ģimenei"" Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"""Attīstības centrs ģimenei""";"Nē";"Nē";"3380802095";"Juridiska vai fiziska persona";"RĪGA"
"Pieaugušo neformālās izglītības iestāde ""Evisit""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"SIA ""Evisit.lv""";"Nē";"Nē";"3380802098";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Neformālās izglītības iestāde ""Boulder""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"SIA VALIDA GROUP";"Nē";"Nē";"4380802099";"Juridiska vai fiziska persona";"MĀRUPES NOVADS"
"Neformālās Izglītības iestāde ""Latvijas Ķīniešu valodas skola""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Biedrība ""The Latvian Federation of Oversea Chinese Compatriots""";"Nē";"Nē";"3380802034";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Pieaugušo neformālās izglītības iestāde ""Mācību centrs ""Fabers""""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"SIA ""ID FABERS""";"Nē";"Nē";"2980802014";"Juridiska vai fiziska persona";"JŪRMALA"
"Pieaugušo neformālās izglītības iestāde ""BILANCES AKADĒMIJA""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""LIETIŠĶĀS INFORMĀCIJAS DIENESTS""";"Nē";"Nē";"3380802112";"Juridiska vai fiziska persona";"RĪGA"
