Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Tukuma pirmsskolas izglītības iestāde ""Karlsons""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Tukuma novada pašvaldība";"Nē";"Nē";"4101902892";"Pašvaldība ";"-Nav norādīts-"
"Skultes pirmsskolas izglītības iestāde ""Aģupīte""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Limbažu novada pašvaldība";"Nē";"Nē";"4401902921";"Pašvaldība ";"LIMBAŽU NOVADS"
"Privātā pirmsskolas izglītības iestāde ""First step""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"SIA ""First step""";"Nē";"Nē";"3701802934";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Privātā pirmsskolas izglītības iestāde ""Mazo bērnu skola""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"""KULDĪGAS MANTOJUMS""";"Nē";"Nē";"4101802887";"Juridiska vai fiziska persona";"KULDĪGA"
"Privātā pirmsskolas izglītības iestāde ""Puķuzirnis""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Alauksts IM""";"Nē";"Nē";"3601802944";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Privātā pirmsskolas izglītības iestāde ""Mans lācis""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Mans lācis""";"Nē";"Nē";"3601802945";"Juridiska vai fiziska persona";"RĪGA"
"Privātā pirmsskolas izglītības iestāde ""Augsim""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Augsim""";"Nē";"Nē";"3701802958";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Privātā pirmsskolas izglītības iestāde ""Pērļu māja""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"SIA Montesori privātā pirmsskolas izglītības iestāde ""Pērļu māja""";"Nē";"Nē";"3601802964";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Privātā pirmsskolas izglītības iestāde ""Brīnumpupa""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Praija""";"Nē";"Nē";"3701802909";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Privātā pirmsskolas izglītības iestāde ""Maza Rasiņa""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Maza Rasiņa""";"Nē";"Nē";"3801802993";"Juridiska vai fiziska persona";"-Nav norādīts-"
