Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Jāzepa Mediņa Rīgas 1. mūzikas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3376902790";"Pašvaldība ";"RĪGA"
"Augusta Dombrovska Mūzikas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3376902105";"Pašvaldība ";"RĪGA"
"Jūrmalas Mūzikas vidusskola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"Jūrmalas valstspilsētas administrācija";"Nē";"Jā";"2976902287";"Pašvaldība ";"JŪRMALA"
"Salaspils novada pašvaldības iestāde ""Salaspils Mūzikas un mākslas skola""";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Salaspils novada pašvaldība";"Nē";"Jā";"4374902293";"Pašvaldība ";"SALASPILS NOVADS"
"Alojas Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Limbažu novada pašvaldība";"Nē";"Jā";"4474902295";"Pašvaldība ";"ALOJAS NOVADS"
"Kārsavas Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Ludzas novada pašvaldība";"Nē";"Jā";"4274902080";"Pašvaldība ";"KĀRSAVAS NOVADS"
"Jāņa Simsona Madonas mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mākslas skola";"Madonas novada pašvaldība";"Nē";"Jā";"4475902348";"Pašvaldība ";"-Nav norādīts-"
"Talsu novada Sporta skola";"Profesionālās ievirzes izglītības iestāde";"Sporta skola";"Talsu novada pašvaldība";"Nē";"Jā";"4171902179";"Pašvaldība ";"-Nav norādīts-"
"Balvu Sporta skola";"Profesionālās ievirzes izglītības iestāde";"Sporta skola";"Balvu novada pašvaldība";"Nē";"Jā";"4271902173";"Pašvaldība ";"BALVI"
"Rīgas Futbola skola";"Profesionālās ievirzes izglītības iestāde";"Sporta skola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3371902218";"Pašvaldība ";"-Nav norādīts-"
"Saldus Mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mākslas skola";"Saldus novada pašvaldība";"Nē";"Jā";"4175902170";"Pašvaldība ";"SALDUS"
"Talsu Mūzikas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"Talsu novada pašvaldība";"Nē";"Jā";"4176902085";"Pašvaldība ";"-Nav norādīts-"
"Talsu Mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mākslas skola";"Talsu novada pašvaldība";"Nē";"Jā";"4175902356";"Pašvaldība ";"TALSI"
"Lubānas Mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mākslas skola";"Madonas novada pašvaldība";"Nē";"Jā";"4475902102";"Pašvaldība ";"-Nav norādīts-"
"Engures Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Tukuma novada pašvaldība";"Nē";"Jā";"4174902077";"Pašvaldība ";"-Nav norādīts-"
"Valmieras Mūzikas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"Valmieras novada pašvaldība";"Nē";"Jā";"2576902404";"Pašvaldība ";"-Nav norādīts-"
"Rūjienas Mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mākslas skola";"Valmieras novada pašvaldība";"Nē";"Jā";"4475902222";"Pašvaldība ";"-Nav norādīts-"
"Saldus novada sporta skola";"Profesionālās ievirzes izglītības iestāde";"Sporta skola";"Saldus novada pašvaldība";"Nē";"Jā";"4171902184";"Pašvaldība ";"-Nav norādīts-"
"Smiltenes Mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mākslas skola";"Smiltenes novada pašvaldība";"Nē";"Jā";"4475902285";"Pašvaldība ";"-Nav norādīts-"
"Jēkabpils Mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mākslas skola";"Jēkabpils novada pašvaldība";"Nē";"Jā";"1075902405";"Pašvaldība ";"-Nav norādīts-"
"Rīgas 3. mūzikas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3376902153";"Pašvaldība ";"-Nav norādīts-"
"Mālpils Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Siguldas novada pašvaldība";"Nē";"Jā";"4374902106";"Pašvaldība ";"MĀLPILS NOVADS"
"Aizkraukles novada Sporta skola";"Profesionālās ievirzes izglītības iestāde";"Sporta skola";"Aizkraukles novada pašvaldība";"Nē";"Jā";"4571902205";"Pašvaldība ";"-Nav norādīts-"
