Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Interešu izglītības iestāde AO STUDIO";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""AO STUDIO""";"Nē";"Nē";"4351803007";"Juridiska vai fiziska persona";"ĶEKAVAS NOVADS"
"Interešu izglītības iestāde ""STEFANS SPORT SCHOOL""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Dialogs AB""";"Nē";"Nē";"3351803019";"Juridiska vai fiziska persona";"RĪGA"
"Bērnu un jauniešu interešu izglītības iestāde ""Mācību centrs ""LANDO""""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"SIA ""LANDO BALTIJA""";"Nē";"Nē";"3351803156";"Juridiska vai fiziska persona";"RĪGA"
"Izglītības un kultūras centrs ""SOVINS""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"SIA ""Sabiedriskais centrs SOVINS""";"Nē";"Nē";"3351803157";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Valodu centrs ""LINGUA FRANCA""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""LINGUA FRANCA""";"Nē";"Nē";"2551803158";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Interešu izglītības iestāde ""Centrs Dardedze""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Nodibinājums ""Centrs Dardedze""";"Nē";"Nē";"3351803151";"Juridiska vai fiziska persona";"RĪGA"
"Interešu izglītības iestāde ""Tehniskās izglītības un jaunrades skola""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"""Tehniskās izglītības un jaunrades skola""";"Nē";"Nē";"3351803209";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Interešu izglītības iestāde ""Mācies IT""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Learn IT""";"Nē";"Nē";"3351803212";"Juridiska vai fiziska persona";"RĪGA"
"Interešu izglītības iestāde ""Bērnu un jauniešu jūrniecības skola""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"""PILSĒTAS JAHTKLUBS""";"Nē";"Nē";"3351803071";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Interešu izglītības iestāde ""SPORT SCHOOL""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Nodibinājums ""INTERNATIONAL INITIATIVES FOUNDATION""";"Nē";"Nē";"4351803073";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Interešu izglītības iestāde ""Ikšķiles Brīvā skola""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Ikšķiles Brīvā skola";"Nē";"Nē";"4451803085";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Interešu izglītības iestāde ""Lūsis""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Mūžizglītības un kultūras institūts ""Vitae""";"Nē";"Nē";"3351803149";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Mākslas izglītības centrs TRĪS KRĀSAS";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"""Mākslas izglītības centrs TRĪS KRĀSAS""";"Nē";"Nē";"3351803214";"Juridiska vai fiziska persona";"-Nav norādīts-"
