Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Pilotu skola ERIVA";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""Eriva""";"Nē";"Nē";"4361802400";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Pygmalion""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""Pygmalion""";"Nē";"Jā";"3361802402";"Juridiska vai fiziska persona";"RĪGA"
"Profesionālās tālākizglītības centrs ""Konspekti""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA GP KONSULTĀCIJAS";"Nē";"Jā";"3361802417";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās izglītības iestāde ""Latvijas - Vācijas profesionālās izglītības centrs""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""DRMC""";"Nē";"Jā";"3361802426";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""FITA""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""FITA""";"Nē";"Jā";"3361802433";"Juridiska vai fiziska persona";"RĪGA"
"Profesionālās tālākizglītības centrs ""Rīgas Aviācijas Skola""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""Rīgas Aviācijas Skola""";"Nē";"Nē";"4561802466";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs Mācību centrs ""SPECIĀLISTS""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""Darba aizsardzības administrācija""";"Nē";"Jā";"3361802467";"Juridiska vai fiziska persona";"-Nav norādīts-"
"SIA TA Group";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""TA GROUP""";"Nē";"Nē";"3361802484";"Juridiska vai fiziska persona";"RĪGA"
"Mācību centrs ""DARBA DROŠĪBAS CENTRS""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""DARBA DROŠĪBAS CENTRS""";"Nē";"Jā";"3361802490";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības iestāde ""Brus""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA Cook";"Nē";"Jā";"3361802492";"Juridiska vai fiziska persona";"-Nav norādīts-"
